course_id,course_name,section_name,source_line_start,source_line_end,graduation_requirement_details,course_length_text,course_length_normalized,course_length_semesters,grade_requirements,prerequisites,recommended_prerequisites,normalized_course_name,cross_reference_aliases,description,audition_tryout_required,audition_tryout_evidence
ap_english_literature,AP ENGLISH LITERATURE,LANGUAGE ARTS - ELECTIVES,130,137,"English 11, Language Arts Elective",Full Year,full_year,2,11-12,,,ap english literature,ap english literature,"This Advanced Placement course engages students in the careful reading and critical analysis of imaginative literature. Through close reading of selected literary works, students deepen their understanding and enhance their pleasure in literature. They develop critical standards for interpreting the effects writers create by means of the artful manipulation of language. To achieve these goals, students study individual works, their characters, action, structure, and language. They consider both large-scale literary elements such as form and theme, and smaller-scale elements such as figurative language, imagery, symbolism, and tone. Students analyze these and other aspects of literature in their need to derive meaning from their experience of reading. Students consider literary works in their historical context and in relation to their own lives and experience as well.",False,
creative_writing,CREATIVE WRITING,LANGUAGE ARTS - ELECTIVES,138,144,English Elective,Semester,semester,1,11-12,,,creative writing,creative writing,"Creative Writing is an intensive, portfolio-based class that will explore the various facets of creative writing. This class will cover topics such as short story writing, poetry, personal narrative writing, and novel writing.",False,
dystopian_literature,DYSTOPIAN LITERATURE,LANGUAGE ARTS - ELECTIVES,145,151,English Elective,Semester,semester,1,11-12,,,dystopian literature,dystopian literature,"Throughout the course students will dive into the qualities of dystopian literature and analyze how authors design that literature to address/critique certain social issues of their time. Students will be reading and analyzing multiple books in order to gain an in-depth understanding of the methods/strategies that authors use to tackle those issues, and further enhance their understanding of those methods/strategies through the development/creation of their own dystopia as the semester progresses.",False,
popular_literature,POPULAR LITERATURE,LANGUAGE ARTS - ELECTIVES,152,158,English Elective,Semester,semester,1,11-12,,,popular literature,popular literature,"Students will read and discuss four current, popular young adult (YA) novels. We will also consider why these books have gained popularity, who reads them, and where we think certain series are headed. (You will not have book reports for this course, but will need to read the novels to participate in class assignments and discussions.)",False,
science_fiction_and_fantasy_literature,SCIENCE FICTION & FANTASY LITERATURE,LANGUAGE ARTS - ELECTIVES,159,165,English Elective,Semester,semester,1,11-12,,,science fiction and fantasy literature,science fiction and fantasy literature | science fiction fantasy literature,"Science Fiction & Fantasy Literature looks at the history of science fiction and fantasy, current literature and what's trending. Students will read and discuss four popular science fiction and fantasy YA novels, create multiple projects to share what they are learning about both genres, and attend 1 or 2 field trips to extend the learning.",False,
short_stories,SHORT STORIES,LANGUAGE ARTS - ELECTIVES,166,172,English Elective,Semester,semester,1,11-12,,,short stories,short stories,"In this semester-long study of the genre, we will read, discuss, and analyze multiple contemporary and iconic Short Stories. We will dig into story elements, including setting, plot, characters, themes, symbols, sentence structure, and literary devices to understand how great stories are built. Your learning will culminate in you writing your own short stories by using the elements we have studied together.",False,
yearbook_technical_writing,YEARBOOK- TECHNICAL WRITING,LANGUAGE ARTS - ELECTIVES,173,178,English Elective,Full year,full_year,2,,,,yearbook technical writing,yearbook technical writing,"This year-long course provides the study of and practice in gathering and analyzing information, interviewing, and note taking for the purpose of: (1) writing, (2) editing, and (3) publishing for the yearbook. Yearbook staff is responsible for recording the school year’s history in word and photography. Writers will work with the photographers to layout photos and words in order to create a technically sound publication. This course includes instruction and practice in effective journalistic writing forms and techniques as well as layout, design, photojournalism, and typography.",False,
film_literature_1_film_making_1,FILM LITERATURE 1/FILM MAKING 1,LANGUAGE ARTS - ELECTIVES,179,185,English Elective or Arts,Semester,semester,1,,,,film literature 1 film making 1,film literature 1 film making 1 | film literature film making,"Ever wondered how movies shape the world? In this exciting course, students will dive into the power of film as both an art form and a force for change. From the early days of cinema to modern blockbusters, we'll explore how movies reflect and impact history, culture, and society. Students will watch, analyze, discuss and write about iconic films, gaining a deeper understanding of storytelling and filmmaking techniques. Beyond watching movies, students will also create their own short films, write scripts, and work on creative projects that bring their ideas to life.",False,
film_literature_2_film_making_2,FILM LITERATURE 2/FILM MAKING 2,LANGUAGE ARTS - ELECTIVES,186,192,English Elective or Arts,Semester,semester,1,,,,film literature 2 film making 2,film literature 2 film making 2 | film literature film making,"If you love movies and want to take your film knowledge to the next level, this class is for you! Whether or not you’ve taken Film Lit 1, this course explores how different film genres—from suspenseful film noir to laugh-out-loud comedies—use editing, music, lighting, and camera work to tell powerful stories. Students will analyze groundbreaking films from around the world, create their own projects, and even try their hand at podcasting! This course is perfect for aspiring filmmakers, critics, or anyone who wants to see movies in a whole new way.",False,
french_3_ce,FRENCH 3 CE,LANGUAGE ARTS - ELECTIVES,193,203,Language Arts Elective,Full year,full_year,2,,French 1 & 2,,french 3 ce,french 3 | french 3 ce | french ce,"\\Concurrent Enrollment Credit UVU: FREN 1020 Ready to take your French skills to the next level? In this course, you’ll improve your speaking, listening, reading, and writing skills while diving into exciting topics like travel, health, relationships, childhood, and even French literature! Expect lots of real-world practice—asking and answering questions, forming sentences, and holding conversations—all in French. Plus, you’ll explore French-speaking cultures in new and engaging ways. For students looking to earn college credit, this course offers a UVU Concurrent Enrollment option (FREN 1020, 4 credits). Immerse yourself in the language and get ahead academically!",False,
french_4_ce,FRENCH 4 CE,LANGUAGE ARTS - ELECTIVES,204,214,Language Arts Elective,Full year,full_year,2,,French 3,,french 4 ce,french 4 | french 4 ce | french ce,"\\Concurrent Enrollment Credit UVU: FREN 2010 Take your French skills to a deeper level! In this course, you'll dive into engaging themes like education, beauty and art, war and peace, and the impact of technology—all while strengthening your ability to speak, read, write, and understand French. You'll also explore French literature, tell stories, share opinions, and hold more advanced conversations entirely in French. Want college credit? This course offers a UVU Concurrent Enrollment option (FREN 2010, 4 credits), giving you a head start on your college language requirements while mastering a valuable skill!",False,
ap_french,AP FRENCH,LANGUAGE ARTS - ELECTIVES,215,224,Language Arts Elective,Full year,full_year,2,,,,ap french,ap french,"Get ready to master French and take on the AP French Language & Culture Exam in May! This course challenges you to strengthen your reading, writing, listening, and speaking skills through real-world topics like family life, identity, art, science, technology, contemporary life, and global issues. You'll analyze texts, respond to emails, write persuasive essays, engage in conversations, and give cultural presentations—all in French. By the end of the year, you'll be confident in expressing opinions, telling detailed stories, and discussing a variety of topics using connected sentences and short paragraphs. If you're serious about French and want to earn college credit, this is the course for you!",False,
spanish_3_ce,SPANISH 3 CE,LANGUAGE ARTS - ELECTIVES,225,233,Language Arts Elective,Full year,full_year,2,,Completion of Spanish 2 with a recommended grade of “C” or higher,,spanish 3 ce,spanish 3 | spanish 3 ce | spanish ce,"\\Concurrent Enrollment Credit UVU: SPAN 1020 This course, known as SPANISH 1020 at UVU, offers students numerous opportunities to speak, read, and write in Spanish, earning 4 college credits upon successful completion. Additionally, there are potential travel abroad opportunities and exciting field trips to enhance language learning beyond the classroom. Engage in a collaborative project where you'll create a film in Spanish with your group to compete in a fun film festival against other World Languages!",False,
spanish_4_ce,SPANISH 4 CE,LANGUAGE ARTS - ELECTIVES,234,242,Language Arts Elective,Full year,full_year,2,,Completion of Spanish 3 with a recommended grade of “C” or higher,,spanish 4 ce,spanish 4 | spanish 4 ce | spanish ce,"\\Concurrent Enrollment Credit UVU: SPAN 2010 This course, known as SPANISH 2010 at UVU, reinforces advanced Spanish language skills, providing numerous opportunities to speak, read, and write in Spanish. Students who have successfully completed the SPANISH 1020 course (Spanish 3 at Lehi) and this course will earn a total of 8 college credits. Engage in a collaborative project to create a film in Spanish with your group to compete in a fun film festival against other World Languages! Additionally, potential travel abroad opportunities and exciting field trips will enhance language learning beyond the classroom.",False,
ap_spanish,AP SPANISH,LANGUAGE ARTS - ELECTIVES,243,250,Language Arts Elective,Full year,full_year,2,,Completion of Spanish 4,,ap spanish,ap spanish,"The primary purpose of this course is to prepare students to pass the AP Spanish Language and Culture Exam. It covers six thematic units: Families in Different Societies, Language and Culture's Influence on Identity, Beauty and Art, Science and Technology, Quality of Life, and Environmental and Political Challenges. Students will develop advanced skills in interpreting texts, writing essays, and participating in conversations, with lessons conducted primarily in Spanish to enhance communication skills. Students can earn additional college credits based on their performance on the AP test, with transfer credit information available at BYU AP Credit Transfer and UVU AP Credit Transfer. If planning to attend a college other than BYU or UVU, students should check with that institution to determine AP transfer credit policies. Additionally, students will collaborate to create a film in Spanish, competing against other World Languages in a fun film festival!",False,
american_sign_language_3_live_interactive,AMERICAN SIGN LANGUAGE 3- LIVE INTERACTIVE,LANGUAGE ARTS - ELECTIVES,251,257,General Elective or Language Arts Elective,Full year,full_year,2,11-12,,,american sign language 3 live interactive,american sign language 3 live interactive | american sign language live interactive,A continuation of ASL learning. Facilitators manage the room and assignments while the instructor is broadcast over TV with course material.,False,
biology_agricultural_science,BIOLOGY - AGRICULTURAL SCIENCE,SCIENCE - CORE,261,267,CTE or Science Core or Science Elective,Full year,full_year,2,,,,biology agricultural science,biology agricultural science,"Agricultural Biology is meant to be taken the entire year. This course is designed to meet the requirement for biological science credit. The standards and objectives for this course are the same as the standards and objectives for Biology, with the only difference being the degree of emphasis on agriculture. Students completing this course will be cognizant of current technologies, methods, and changes in agricultural science and are expected to know and apply the standards outlined in the core curriculum as they relate to the industry of agriculture.",False,
biology,BIOLOGY,SCIENCE - CORE,268,274,Science Core or Science Elective,Full year,full_year,2,,,,biology,biology,"Welcome to high school biology, where we dive into everything from cells’ wild drama (looking at you, cancer) to biochemistry that’s basically a high school party. One minute we’re watching protein synthesis team-building, the next we’re questioning if your cells are plotting a mutiny—spoiler: they probably are. We’ll also explore genetics and evolution, explaining everything from your brown eyes to your questionable dance moves, all tied to survival. And when we hit ecology, it’s like a reality show where organisms fight for food and survival. By the end, you might just rethink that last doughnut—nature’s a competitive game!",False,
biology_1010_ce,BIOLOGY 1010 CE,SCIENCE - CORE,275,287,"Science Core, Science Elective",Full year,full_year,2,,,,biology 1010 ce,biology 1010 | biology 1010 ce | biology010 ce,"\\Concurrent Enrollment Credit Option UVU: BIOL 1010 & BIOL 1015 lab (3 course credits \+ 1 lab credit) General Biology Course 1010 (3 college credits) Introduction to College Biology. Introduces major themes and concepts of biology including cell and molecular biology, genetics, diversity, evolution, and ecology. Provides students with necessary information and skills to critically evaluate what they hear, read, and see in the living world; communicate clearly; and apply methods to interpret data for making informed decisions concerning the role of biology in a world of which they are a part. General Biology Laboratory 1015 (1 college credit) Covers introductory topics in general biology. Complements the student's experience in the General Biology 1010 course with emphasis on the application of the scientific method. Includes actual student experiences with living organisms, use of the microscope, and an introduction to techniques used in the study of life.",False,
ap_biology_1610_ce,AP BIOLOGY 1610 CE,SCIENCE - CORE,288,297,"Science Core, Science Elective",Full year,full_year,2,,,,ap biology 1610 ce,ap biology 1610 | ap biology 1610 ce | ap biology610 ce,"\\Concurrent Enrollment Credit Option UVU: BIOL 1610 & BIOL 1615 lab (4 course credits \+ 1 lab credit) Previous biology background is recommended before taking this course. This is a third level college biology course. If you are planning on entering the medical or science field for your job, this will be a course you take in college. It is for the highly motivated student who is passionate about biology. This class will engage you in science as a process. The informational component of the class will teach you how to collaborate with other students while communicating ideas and information learned about various topics. The laboratory component will enable you to develop hypotheses, design and run experiments, analyze data and make conclusions, and communicate in graphs and tables, but most importantly you will learn to think critically and analytically in the rapidly changing environment and societal world. The AP College Board outline will be followed. AP credit varies by school.",False,
earth_and_space_science,EARTH & SPACE SCIENCE,SCIENCE - CORE,298,303,"Science Core, Science Elective",Full year,full_year,2,,,,earth and space science,earth and space science | earth space science,"The Earth and Space Science SEEd Standards investigate processes and mechanisms that have resulted in the formation of our Earth, galaxy, and universe. Students develop models to illustrate the life span of the Sun and the role of nuclear fusion releasing energy in the Sun’s core. Students analyze and interpret data to construct an explanation for Earth’s history and explore changes to Earth’s systems. Students develop and use a model of Earth’s interior to describe the cycling of matter by thermal convection. Students plan and carry out an investigation on the properties of water to determine its effects on Earth materials. Students use computational thinking to explain sustainable and natural resources, focusing on responsible stewardship. Additionally, students design and evaluate solutions to problems that exist in these areas. Instruction will include labs, demonstrations, and research projects. Emphasis will also be placed on reading, writing, textbook assignments, vocabulary and correct spelling.",False,
chemistry,CHEMISTRY,SCIENCE - CORE,304,311,Science Core or Science Elective,Full year,full_year,2,,,Secondary Math 2,chemistry,chemistry,"High school chemistry is like a rollercoaster through atoms, bonds, and the building blocks of the universe—minus the screams, replaced by groans over balancing equations. You’ll start with atoms (tiny, awkward Lego sets of protons, neutrons, and electrons) and then explore bonds—covalent, ionic, and metallic—like high school cliques, some friendly, some opposites, and some just sticking together because they’re bored. As the class moves on, expect chemical reactions that boom or fizzle, balancing equations like a puzzle master, and equilibrium, where things try to stay balanced but usually just get chaotic. Stoichiometry feels like math class in disguise, but you’ll survive the mole ratios. We’ll wrap it all up with nuclear chemistry, which is basically chemistry's way of saying, ""I bet you didn’t think we’d go this far into the realm of the weird and radioactive.""",False,
chemistry_ce,CHEMISTRY CE,SCIENCE - CORE,312,321,"Science Core, Science Elective",Full year,full_year,2,,,Secondary Math 2,chemistry ce,chemistry | chemistry ce,"\\Concurrent Enrollment Credit UVU: CHEM 1010, CHEM 1115 lab Chemistry is the study of matter, its structure, properties and composition. Starting with atoms, the basic building blocks which make everything, and working to large molecules. The periodic table, states of matter and chemical bonding will be covered. Solutions and acid bases will also be discussed. Students will be involved in lab work. Chemistry is one of the fundamental sciences that teaches us about our surroundings.",False,
ap_chemistry,AP CHEMISTRY,SCIENCE - CORE,322,332,"Science Core, Science Elective",Full year,full_year,2,11-12,,Chemistry,ap chemistry,ap chemistry,"Advanced Placement Chemistry is a College level chemistry course. It is an intensive study on matter, the structure of atoms, chemical reactions, the processes by which chemical reactions take place, organic chemistry, and nuclear chemistry. A Lab notebook is required and every student must complete the 20+ labs. Taking the AP Exam and receiving at least a score of 3 enables students to earn college credit. The AP Exam is not required.",False,
ap_environmental_science_ce,AP ENVIRONMENTAL SCIENCE CE,SCIENCE - CORE,333,343,"Science, Core, Science Elective",Full year,full_year,2,,,,ap environmental science ce,ap environmental science | ap environmental science ce,"\\Concurrent Enrollment Credit Option UVU: ENVT 1110 CE/AP Environmental Science is a hands-on, college-level course that examines how natural systems work and how human activities impact the environment. Students study topics such as ecosystems, population growth, energy resources, climate change, pollution, and sustainable practices. Through labs, research, data interpretation, and real-world case studies, students learn to think scientifically and evaluate environmental challenges facing our world today. This course emphasizes problem-solving, critical thinking, and evidence-based decision-making, preparing students for the AP Environmental Science exam and/or concurrent enrollment college credit while building skills needed for future science and environmental careers.",False,
physics,PHYSICS,SCIENCE - CORE,344,350,"Science Core, Science Elective",Full year,full_year,2,,,,physics,physics,"Physics is the study of the “rules” of nature. An understanding of the way things work around us can increase our productivity as well as our enjoyment in life. The focus of this class is gaining an understanding of the concepts of Physics more than trying to do calculations. Some formulas and mathematical descriptions will be introduced and utilized to support the main concepts described. Instruction will include labs, demonstrations, and research projects. Emphasis will also be placed on reading, writing, textbook assignments, vocabulary, correct spelling and lab safety. Several units each term will cover topics such as science basics, properties of matter, forces, motion, energy, heat, electricity and magnetism, waves, sound, light, and the application of the various principles learned.",False,
physics_ce,PHYSICS CE,SCIENCE - CORE,351,362,"Science Core, Science Elective",Full year,full_year,2,,Secondary Math 1,,physics ce,physics | physics ce,"\\Concurrent Enrollment Credit UVU: PHYS 1010 Physics is the study of the “rules'' of nature. An understanding of the way things work around us can increase our productivity as well as our enjoyment in life. The focus of this class is on understanding the concepts of Physics before trying to do any calculations. Though some formulas and mathematical descriptions will be introduced these will be secondary to the main concepts described. Instruction will include labs, demonstrations, and research projects. Emphasis will also be placed on reading, writing, textbook assignments, vocabulary and correct spelling. Several chapters each term will be covered on the topics of science basics, the universe, mechanics, properties of matter, heat, sound and light, electricity and magnetism, atomic and nuclear physics, and the application of the various principles learned.",False,
ap_physics,AP PHYSICS,SCIENCE - CORE,363,374,Science Core or Science Elective,Full year,full_year,2,,,Secondary Math 3 or currently enrolled,ap physics,ap physics,"Equivalent to a first-year college physics class, this course explores motion, forces, energy, and fluids through hands-on labs and teamwork. With a strong focus on problem-solving and mathematical analysis, it’s perfect for college-bound students and those eager to uncover the patterns in physics. Prepare for the AP Physics Exam and the chance to earn college credit!",False,
computer_programming_2,COMPUTER PROGRAMMING 2,SCIENCE - CORE,375,383,Science Core or CTE,Semester,semester,1,10-12,Computer Programming 1,,computer programming 2,computer programming | computer programming 2,"This course introduces the concepts of object-oriented programming using Visual Basic.net, including the tools, structure, syntax, and basic OOP design techniques for developing well-formed programs. Students study concepts such as classes, methods, fields, data types, control constructs, data I/O, exception handling, and class libraries. Students will write several programming assignments that demonstrate their understanding of OOP concepts.",False,
animal_science,ANIMAL SCIENCE,SCIENCE - ELECTIVES,389,396,CTE or Science Elective,Full year,full_year,2,,Biology-Agricultural Science (if you want the pathway) or Biology,,animal science,animal science,"Animal Science is meant to be taken the entire year. This course exposes students to a wide range of scientific principles, such as genetics, anatomy, physiology/nutrition, disease, pests, and management practices. The science processes of observation, measurement, hypothesizing, data gathering, interpretation, analysis, and application are stressed. Career opportunities and educational preparation are examined. Learning activities are varied, with classroom and laboratory experiences emphasized.",False,
astronomy,ASTRONOMY,SCIENCE - ELECTIVES,397,402,Science Elective,Semester,semester,1,,,,astronomy,astronomy,"This intro to astronomy gives students a broad understanding of the night sky, from ancient theories to modern discoveries. Dive into planets, stars, black holes, rockets, constellations, and more through projects, activities, and presentations. Learn how to track the moon, use the stars to tell time, and explore constellations. When possible, we’ll head outside with telescopes to see planets, stars, and the moon up close!",False,
astronomy_ce,ASTRONOMY CE,SCIENCE - ELECTIVES,403,411,Science Elective,Full year,full_year,2,,,,astronomy ce,astronomy | astronomy ce,"\\Concurrent Enrollment Credit UVU: 1040 An introductory course in astronomy with the goal to provide students with a broad enough, deep enough background in astronomy to appreciate the night sky and understand the motions, properties and history of the heavenly objects. Students are introduced to astronomy through the eyes of ancient philosophers, scientists and mathematicians. The curriculum then escalates through modern theories and ideas, observations and discoveries. Each planet, the birth and death of stars, constellations, comets, asteroids, back holes, etc. are each discussed in detail.",False,
genetics,GENETICS,SCIENCE - ELECTIVES,412,418,Science Elective,Semester,semester,1,,,,genetics,genetics,"Welcome to high school genetics, where we explore everything that makes you… well, you! We start with Mendelian genetics—think of dominant and recessive genes as the pushy older sibling vs. the quiet younger one. Then we dive into non-Mendelian genetics, where things get wild with incomplete dominance, co-dominance, and epistasis. You’ll even debate whether your last tomato secretly has fish DNA. Next, we tackle DNA, cloning, and stem cells. DNA is your body’s instruction manual (if you can read nerdy code), and cloning? It’s not about an army of sheep… maybe. Stem cell therapy could one day fix your organs—and cure the common cold (fingers crossed). Finally, we’ll talk epigenetics—like the DJ of your genes, telling them when to turn on or off based on your lifestyle. Get ready to leave class feeling like a genetic genius.",False,
equine_science,EQUINE SCIENCE,SCIENCE - ELECTIVES,419,426,CTE or Science Elective,Full year,full_year,2,,Biology-Agricultural Science or Biology,,equine science,equine science,"This course prepares students to care for horses and horse equipment; to train horses for various work and athletic or entertainment roles; and to manage horse training, breeding, and housing programs and facilities. Students will also cover horse sciences which include genetics, anatomy, physiology/nutrition, diseases, and pests. Learning activities are varied, with classroom, laboratory, and field experiences emphasized to care for horses and horse equipment.",False,
geology_ce,GEOLOGY CE,SCIENCE - ELECTIVES,427,435,Science Elective,Full year,full_year,2,,,,geology ce,geology | geology ce,"\\Concurrent Enrollment Credit Option UVU: GEO 1010 & GEO 1015 lab Geology is the study of the Earth, its systems, characteristics, and place in the solar system. The focus in this class is on the importance of geology in human affairs and how geologic systems control the physical setting of our environment. Instruction will include labs, demonstrations, and research projects. Emphasis will also be placed on reading, writing, textbook assignments, vocabulary and correct spelling. Several units each term will be covered on the topics of space, earth structure, earth systems, plate tectonics, minerals, igneous, sedimentary, and metamorphic rocks, geologic time, seismic activity, weathering, mass movement, rivers, ground-water, glaciers shorelines, deserts, ocean basins, continents, resources, and the application of the various principles learned. Field trips will be taken during class time to several local locations where students can see examples of concepts covered and do work using geological tools and procedures.",False,
marine_science,MARINE SCIENCE,SCIENCE - ELECTIVES,436,441,Science Elective,Semester,semester,1,,,,marine science,marine science,"The course is designed for students with an interest in marine biology and oceanography. This course provides an excellent background for students who are interested in further study of the oceans and the organisms that inhabit it. Major concepts include the study of: the interrelationship of marine and terrestrial environments, the geology of the oceans, marine organisms, ecology of coral reefs, and the human impact on marine ecosystems. Laboratory activities, including the examination of marine specimens, are utilized throughout this course to build upon student knowledge.",False,
medical_anatomy_and_physiology,MEDICAL ANATOMY & PHYSIOLOGY,SCIENCE - ELECTIVES,442,448,"CTE, Science Elective",Full year,full_year,2,,,,medical anatomy and physiology,medical anatomy and physiology | medical anatomy physiology,"Are you interested in learning more about the amazing human body? Is a career in the medical field a possible option for your future? Do you want to learn anatomy and physiology through hands-on activities? Do you want a class that will prepare you for college level courses? Then this class is for you! Students will also be engaged in dissections, medical career exploration, field trips, and much more. Students will examine each of the twelve body systems at a level of detail that will allow them to pass college level courses in the same areas of study. This class is a must for any students pursuing medical related careers such as medicine, dentistry, physical therapy, massage therapy, sports medicine, nursing and many more.",False,
plant_and_soil_science_ce,PLANT & SOIL SCIENCE CE,SCIENCE - ELECTIVES,449,456,CTE or Science Elective,Full year,full_year,2,,,,plant and soil science ce,plant and soil science | plant and soil science ce | plant soil science ce,"Plant and Soil Science is meant to be taken the entire year. This year long course is Concurrent Enrollment eligible through Utah State. This course will expose students to a wide range of plant, landscape, and greenhouse operation and management practices. Students will learn about the anatomy and plant production processes. This will prepare students to produce commercial plant species in a natural and controlled environment, as well as manage commercial and experimental operations.",False,
wildlife_biology,WILDLIFE BIOLOGY,SCIENCE - ELECTIVES,457,463,Science Elective,Semester,semester,1,,,,wildlife biology,wildlife biology,"Welcome to high school wildlife biology, where you’ll explore biomes from the tundra to the rainforest and learn how animals survive in their unique homes. We’ll cover limiting factors (like food and water) that decide who thrives, and dive into ecological drama like predator-prey and symbiosis (nature’s “you scratch my back” moment). Plus, you’ll master the art of taxonomy, where animals get their fancy Latin names. But it’s not all fun and games—there are invasive species causing chaos, and you’ll learn how to measure animal populations without counting every critter. We’ll also dive into biodiversity and how human actions are putting it at risk. By the end, you’ll appreciate the delicate balance of ecosystems and hopefully feel a little better about the wild things around us.",False,
zoology,ZOOLOGY,SCIENCE - ELECTIVES,464,469,Science Elective,Semester,semester,1,,,,zoology,zoology,"Students will study the diversity of animal life. They will analyze the hierarchical organization of animal complexity and contrast this to the classification of animal species. Students will explore the great diversity of animal species beginning with simple invertebrate animals up through the complex vertebrates. The principles of natural selection will be reviewed in order to evaluate the anatomical features of animals and how species physically adapt to their environment in order to survive. The detailed behavior of animals including learning, dominance, and communication will be explored. Current global environmental trends that threaten the survival of species will be addressed. Hands-on, student-centered activities will allow students to become more aware of the fascinating science of zoology.",False,
